no,date,open,high,low,close,volume
0,2014-07-24,605.9,608.3,596,596,7.68
1,2014-07-25,596,603.98,596,596.1,35.282
2,2014-07-26,596.1,598.1,591.22,593.32,81.493
3,2014-07-27,593.32,604.8,592.49,604.8,222.541
4,2014-07-28,604.8,604.8,574.63,582.69,269.119
5,2014-07-29,582.69,586.81,577.68,581.39,230.511
6,2014-07-30,581.39,583.09,560.75,565.37,261.623
7,2014-07-31,565.37,590.15,562.06,581.73,267.422
8,2014-08-01,581.73,598.38,581.73,594.89,343.144
9,2014-08-02,594.89,594.89,583.16,586.72,422.673
10,2014-08-03,587.12,588.54,576.58,585.61,292.73
11,2014-08-04,585.61,589.59,583.13,586.87,347.587
12,2014-08-05,587.03,587.67,582.56,586.42,377.629
13,2014-08-06,586.42,589.09,582.56,586.41,257.295
14,2014-08-07,586.41,590.88,584.19,590.41,381.535
15,2014-08-08,590.41,605.34,589.78,594.03,507.532
16,2014-08-09,593.92,593.92,586.47,587.94,385.865
17,2014-08-10,587.94,593.62,586.06,591.11,220.741
18,2014-08-11,591.11,592.15,567.66,571.24,308.373
19,2014-08-12,571.24,574.59,558.96,565.64,484.759
20,2014-08-13,565.64,567.1,519.74,543,793.728
21,2014-08-14,542.65,542.95,494.4,505.22,479.59
22,2014-08-15,505.22,513.67,483.16,493.61,506
23,2014-08-16,493.61,523.83,481.7,518.95,833.569
24,2014-08-17,520.4,522.86,477.47,487.69,695.092
25,2014-08-18,485.18,492.27,449.33,457.56,776.899
26,2014-08-19,457.56,485.28,453.56,485.28,656.993
27,2014-08-20,485.45,517.78,466.84,511.27,1000.193
28,2014-08-21,509.23,534.88,507.14,513.74,728.6219
29,2014-08-22,513.74,520.89,495.39,509.01,656.144
30,2014-08-23,509.01,514.34,490.64,497.12,715.109
31,2014-08-24,496.66,512.07,493.9,505.65,748.701
32,2014-08-25,505.65,508.37,496.6,499.52,560.105
33,2014-08-26,499.42,511.94,498.8,510.39,798.993
34,2014-08-27,510.39,520.14,508.54,509.96,719.476
35,2014-08-28,509.96,516.87,488.89,506.11,1248.569
36,2014-08-29,506.11,512.2,501.84,508.81,460.1281
37,2014-08-30,508.81,508.82,498.26,502.91,875.425
38,2014-08-31,502.91,507.84,475.07,475.78,1409.793
